"DA000000","Đỗ Thị Ngọc Lan","https://vicare.vn/danh-sach/bac-si/do-thi-ngoc-lan-42/san-phu-khoa",
"DA000001","Đỗ Doãn Lợi","https://vicare.vn/danh-sach/bac-si/do-doan-loi-113/tim-mach",
"DA000002","Lê Vĩnh Phúc","https://vicare.vn/danh-sach/bac-si/le-vinh-phuc-191/san-phu-khoa",
"DA000003","Trần Văn Quang","https://vicare.vn/danh-sach/bac-si/tran-van-quang-256/nhi",
"DA000004","Nguyễn Thanh Liêm","https://vicare.vn/danh-sach/bac-si/nguyen-thanh-liem-359/noi-co-xuong-khop",
"DA000005","Trần Thanh Tú","https://vicare.vn/danh-sach/bac-si/tran-thanh-tu-362/dinh-duong",
"DA000006","Đặng Thị Nghĩa","https://vicare.vn/danh-sach/bac-si/dang-thi-nghia-380/san-phu-khoa",
"DA000007","Đỗ Tất Cường","https://vicare.vn/danh-sach/bac-si/do-tat-cuong-416/hoi-suc-cap-cuu",
"DA000008","Phùng Nam Lâm","https://vicare.vn/danh-sach/bac-si/phung-nam-lam-417/hoi-suc-cap-cuu",
"DA000009","Nguyễn Thị Tân Sinh","https://vicare.vn/danh-sach/bac-si/nguyen-thi-tan-sinh-653/san-phu-khoa",
"DA000010","Phan Quỳnh Lan","https://vicare.vn/danh-sach/bac-si/phan-quynh-lan-888/duoc",
"DA000011","Trần Hữu Tuấn","https://vicare.vn/danh-sach/bac-si/tran-huu-tuan-890/tai-mui-hong",
"DA000012","Phạm Gia Khải","https://vicare.vn/danh-sach/bac-si/pham-gia-khai-891/tim-mach",
"DA000013","Nguyễn Đắc Nghĩa","https://vicare.vn/danh-sach/bac-si/nguyen-dac-nghia-892/ngoai-co-xuong-khop",
"DA000014","Tô Minh Hương","https://vicare.vn/danh-sach/bac-si/to-minh-huong-893/san-phu-khoa",
"DA000015","Nguyễn Đình Tời","https://vicare.vn/danh-sach/bac-si/nguyen-dinh-toi-894/san-phu-khoa",
"DA000016","Ngô Văn Đoan","https://vicare.vn/danh-sach/bac-si/ngo-van-doan-902/chan-doan-hinh-anh",
"DA000017","Triệu Triều Dương","https://vicare.vn/danh-sach/bac-si/trieu-trieu-duong-949/ngoai-co-xuong-khop",
"DA000018","Nguyễn Thanh Hà","https://vicare.vn/danh-sach/bac-si/nguyen-thanh-ha-1005/nhi",
"DA000019","Trần Liên Anh","https://vicare.vn/danh-sach/bac-si/tran-lien-anh-1265/nhi-so-sinh",
"DA000020","Bùi Minh Đức","https://vicare.vn/danh-sach/bac-si/bui-minh-duc-1319/noi-noi-tiet-dai-thao-duong",
"DA000021","Nguyễn Thị Phương Anh","https://vicare.vn/danh-sach/bac-si/nguyen-thi-phuong-anh-1320/gay-me-hoi-suc",
"DA000022","Vũ Tuấn Việt","https://vicare.vn/danh-sach/bac-si/vu-tuan-viet-1321/gay-me-hoi-suc",
"DA000023","Đặng Vĩnh Dũng","https://vicare.vn/danh-sach/bac-si/dang-vinh-dung-1365/ngoai-co-xuong-khop",
"DA000024","Nguyễn Hồng Thúy","https://vicare.vn/danh-sach/bac-si/nguyen-hong-thuy-1650/nhi",
"DA000025","Trần Quang Huy","https://vicare.vn/danh-sach/bac-si/tran-quang-huy-1845/da-khoa",
"DA000026","Nguyễn Thị Ngọc Lan","https://vicare.vn/danh-sach/bac-si/nguyen-thi-ngoc-lan-2003/co-xuong-khop",
"DA000027","Vũ Văn Du","https://vicare.vn/danh-sach/bac-si/vu-van-du-2257/san-phu-khoa",
"DA000028","Phạm Nhật An","https://vicare.vn/danh-sach/bac-si/pham-nhat-an-2425/truyen-nhiem",
"DA000029","Hồ Thị Hiền","https://vicare.vn/danh-sach/bac-si/ho-thi-hien-2426/tieu-hoa-gan-mat",
"DA000030","Carlos Francisco Moreyra","https://vicare.vn/danh-sach/bac-si/carlos-francisco-moreyra-2458/hoi-suc-cap-cuu",
"DA000031","Đặng Thanh Huy","https://vicare.vn/danh-sach/bac-si/dang-thanh-huy-2468/hoi-suc-cap-cuu",
"DA000032","Huỳnh Văn Duẩn","https://vicare.vn/danh-sach/bac-si/huynh-van-duan-2473/ngoai-co-xuong-khop",
"DA000033","Quảng Đại Tuấn","https://vicare.vn/danh-sach/bac-si/quang-dai-tuan-2475/noi-tieu-hoa-gan-mat",
"DA000034","Bùi Phương Thảo","https://vicare.vn/danh-sach/bac-si/bui-phuong-thao-2477/noi-tiet",
"DA000035","Phạm Đỗ Ngọc Diệp","https://vicare.vn/danh-sach/bac-si/pham-do-ngoc-diep-2511/nhi",
"DA000036","Đỗ Thị Đức Mai","https://vicare.vn/danh-sach/bac-si/do-thi-duc-mai-2534/nhi",
"DA000037","Phạm Thị Thu Hương","https://vicare.vn/danh-sach/bac-si/pham-thi-thu-huong-2628/tieu-hoa-gan-mat",
"DA000038","Nguyễn Hồng Hà","https://vicare.vn/danh-sach/bac-si/nguyen-hong-ha-2699/phau-thuat-tham-my",
"DA000039","Hoàng Hồng Thái","https://vicare.vn/danh-sach/bac-si/hoang-hong-thai-2933/noi-ho-hap",
"DA000040","Đỗ Trọng Hiếu","https://vicare.vn/danh-sach/bac-si/do-trong-hieu-2953/rang-ham-mat",
"DA000041","Bùi Chí Nam","https://vicare.vn/danh-sach/bac-si/bui-chi-nam-2955/tieu-hoa-gan-mat",
"DA000042","Nguyễn Thị Cẩm Tú","https://vicare.vn/danh-sach/bac-si/nguyen-thi-cam-tu-2961/noi-tieu-hoa-gan-mat",
