"UniqueID","Ten Co So Y Te","So Dien Thoai","Dia Chi","Hour","Rating","Gioi Thieu","Dich Vu","Bac Si","Chuyen Khoa","Loai Co So","Hinh Anh",
"H14595","Khoa Ung bướu - Khoa Nhi - Bệnh viện Đa khoa tỉnh Kon Tum","0260 3862 573","224 Bà Triệu, Quang Trung, Kon Tum, Kon Tum","","","","Phẫu thuật cắt trọn thùy tuyến giáp, Phẫu thuật cắt toàn bộ tuyến giáp, Phẫu thuật Sistrunk điều trị nang giáp lưỡi, Phẫu thuật đoạn nhũ nạo hạch nách điều trị ung thư vú, Phẫu thuật bóc các u vú lành tính, Điều trị ung thư dương vật, Điều trị đoạn dương vật, Nạo hạch bẹn hai bên, Ung thư da, Điều trị đa mô thức các bệnh ung thư dạ dày, Điều trị ung thư đại trực tràng, Điều trị ung thư phổi, Điều trị u trung mô màng phổi, Hóa trị ung thư dạ dày, Hóa trị ung thư đại trực tràng, Hóa trị ung thư phổi, Hóa trị ung thư buồng trứng, Hóa trị ung thư nội mạc tử cung","","K37","T05","",
"H14596","Khoa Hồi sức cấp cứu - Bệnh viện Đa khoa huyện Bảo Thắng","0203862752","299 Cách Mạng Tháng Tám, Phố Lu, Bảo Thắng, Lào Cai","","","","","DC000004","K14","T05","",
"H14597","Lão khoa - Bệnh viện Đa khoa Đức Minh","0219 3887 877","8A Nguyễn Thái Học, tổ 16, Minh Khai, Hà Giang, Hà Giang","Thứ Hai - Chủ Nhật: 07:00 - 19:00","","","","","K18","T05","H14597.jpg",
"H14598","Khoa Y học cổ truyền - Phục hồi chức năng - Trung tâm Y tế thành phố Thủ Dầu Một","0274 3822 054","03 Văn Công Khai, Phú Cường, Thủ Dầu Một, Bình Dương","","","","","DC000005","K40","T05","",
"H14599","Khoa Phẫu thuật - Bệnh viện Đa khoa Tâm Phúc","0252 3720 720","82 Ngô Sĩ Liên, Đức Thắng, Phan Thiết, Bình Thuận","","","","Mổ nội soi cắt ruột thừa, Cắt túi mật, Lấy sỏi ống mật chủ, Cắt đại tràng, Phẫu thuật tắc ruột, Phẫu thuật thủng dạ dày, Phẫu thuật tinh hoàn ẩn, Mổ bướu cổ, Mổ đặt lưới trong thoát vị bẹn, Tán sỏi niệu quản qua nội soi ngược dòng, Mổ sỏi niệu quản hông lưng, Mổ sỏi thận, Mổ trĩ theo phương pháp Longo và các phương pháp khác, Mổ dò hậu môn, sa hậu môn – trực tràng, Mổ kết hợp xương gãy các loại, Mổ nối và phục hồi gân tổn thương, Mổ hội chứng ống cổ tay","","","T05","",
"H14600","Khoa Đông y - Bệnh viện Đa khoa Vũ Quang","0239 3814 049","Tổ dân phố 5, Vũ Quang, Vũ Quang, Hà Tĩnh","","","","","DC000006","K40","T05","",
"H14601","Khoa Sản - Bệnh viện Đa khoa Vũ Quang","0239 3814 049","Tổ dân phố 5, Vũ Quang, Vũ Quang, Hà Tĩnh","","","","","DC000007","K25","T05","",
"H14602","Khoa Nội truyền nhiễm, Da liễu (A4) - VIện Y học Hải quân","","13 Phạm Văn Đồng, Anh Dũng, Dương Kinh, Hải Phòng","","","","","","K05, K36","T05","H14602.jpg",
"H14603","Khoa Lão khoa - Bệnh viện Phong - Da liễu Trung ương Quy Hòa","0256 3747 999","Ghềnh Ráng, Ghềnh Ráng, Quy Nhơn, Bình Định","","","","","","K05, K18","T05","H14603.jpg",
"H14604","Khoa Ngoại chỉnh hình - Bệnh viện Phục hồi chức năng Hà Tĩnh","0239 3856 657","223 Nguyễn Công Trứ, Thạch Quý, Hà Tĩnh, Hà Tĩnh","","","","","",", K38, K02","T05","H14604.jpg",
