"UniqueID","Ten Co So Y Te","So Dien Thoai","Dia Chi","Hour","Rating","Gioi Thieu","Dich Vu","Bac Si","Chuyen Khoa","Loai Co So","Hinh Anh",
"H15447","Saigon Heritage Spa & Massage","08 6684 6546","69 Hai Bà Trưng, Bến Nghé, Quận 1, Hồ Chí Minh","Thứ Hai - Chủ Nhật: 09:00 - 22:00","","Chào mừng các bạn đã đến với Saigon Heritage Spa & Massage - một trong những spa nổi tiếng ở Việt Nam được đặt ở trung tâm của thành phố Hồ Chí Minh, Việt Nam Chúng tôi luôn luôn nghiên cứu, tìm tòi những phương pháp tốt hơn cho khách hàng của chúng tôi với những kỹ năng massage dầu & spa truyền thống của Việt Nam và Thái Lan. Nhân viên massage của chúng tôi được đào tạo bởi các bậc thầy xoa bóp trong Saigon Heritage massage school và trải qua nhiều bài kiểm tra nghiêm ngặt bởi Master. Chúng tôi cũng trồng, sản xuất và cung cấp một lượng nhỏ lá trà, hoa trà cho những vị khách đến từ miền Trung Việt Nam.","Body massage, Foot massage, Thann scrub, Shower services, Nail care","","K30","T11","H15447.jpg",
"H15448","Sen River Spa","0292 6253 179","73 Xô Viết Nghệ Tĩnh, An Cư, Ninh Kiều, Cần Thơ","","1.0","Sen River Spa được biết đến bởi phong cách spa-thiền. Tại nơi đây bạn sẽ như thoát khỏi chốn bụi trần ồn ào, xóa tan mọi căng thẳng lo âu của cuộc sống thường ngày và bước vào một không gian thanh bình, yên tĩnh để thư giãn và cân bằng lại cuộc sống.","Massage body đá nóng, Chăm sóc da, Massage foot, Tắm trắng, Massage bấm huyệt giảm nhức mỏi, Giảm cân nhanh, Giảm béo, Massage bấm huyệt giảm stress, Chăm sóc toàn thân, Chăm sóc sức khỏe cho người lớn tuổi, Chăm sóc bà bầu, Chăm sóc bà mẹ sau sinh, Massage dành cho cặp đôi - vợ chồng, Massage gia đình, Châm cứu bấm huyệt trị liệu","","K30","T11","H15448.jpg",
"H15449","Beauty & More Spa","093 295 58 89","118 Nguyễn Ngọc Nại, Khương Mai, Thanh Xuân, Hà Nội","Thứ Hai - Chủ Nhật: 09:00 - 19:00","5.0","Beauty & More Spa tọa lạc tại địa chỉ 118 Nguyễn Ngọc Nại, Đống Đa, Hà Nội là một địa chỉ làm đẹp uy tín giúp bạn giải quyết các vấn đề về da. Beauty & More Spa sở hữu không gian lịch sự, sạch sẽ, yên tĩnh cùng đội ngũ kỹ thuật viên chuyên nghiệp, tận tâm với nghề. Mỗi liệu trình làm đẹp ở đây là sự kết hợp của công nghệ hiện đại, mỹ phẩm cao cấp, nhân viên tay nghề cao giúp mang lại hiệu quả tốt nhất. Đến với Beauty & More Spa bạn không chỉ được chăm sóc sức khỏe và sắc đẹp một cách chu đáo, hiệu quả nhất mà còn có những phút giây thư giãn thật sự thoải mái, dễ chịu.","","","K30","T11","H15449.jpg",
"H15450","Hồng Diễm Spa & Clinic","091 527 42 27","H23 Phạm Thị Nghĩa, khu phố 5, Tân Hiệp, Biên Hòa, Đồng Nai","","","Hồng Diễm Spa & Clinic là một trong những địa chỉ làm đẹp quen thuộc của chị em phụ nữ với đa dạng các dịch vụ phục vụ nhu cầu làm đẹp: điều trị da lão hóa, điều trị siêu cung cấp độ ẩm, điều trị lão hóa – dấu chân chim – nếp nhăn – da chảy xệ, điều trị mụn bọc, mụn mũ, Điều trị da lão hóa do nội tiết.","Điều trị da lão hóa, Điều trị sẹo rỗ, lỗ chân lông to, Điều trị Nám, Điều trị dấu chân chim, Điều trị nếp nhăn, Điều trị da chảy xệ, Điều trị mụn bọc, Điều trị mụn mủ, Điều trị da lão hóa do nội tiết, Xóa xăm, Triệt lông vĩnh viễn, Massage, Phun thêu thẩm mỹ, Điêu khắc thẩm mỹ, Xóa thẩm mỹ, Trị mụn bằng công nghệ OTP","DC000312","K05, K38, K30","T11","H15450.jpg",
"H15451","Sài Gòn Xinh Spa cơ sở 27","096 242 50 95","247B Trần Phú, Minh Khai, Hà Giang, Hà Giang","Thứ Hai - Chủ Nhật: 08:30 - 19:30","","Sài Gòn Xinh Spa tròn 15 năm tuổi. Một chặng đường không ngắn với muôn vàn những khó khăn thử thách. Nhưng với tinh thần đoàn kết, nỗ lực của ban lãnh đạo cùng tập thể nhân viên, chúng tôi đã vượt qua những khó khăn và khẳng định ví trí của mình trên thị trường làm đẹp tại Hà Nội. Với slogan “Chăm sóc cả gia đình bạn”,  Sài Gòn Xinh Spa luôn cố gắng phát triển vững bước trong thời gian hoạt động. Hiện nay Sài Gòn Xinh Spa đã mở rộng, phát triển mạng lưới các cơ sở của mình ra toàn miền Bắc và miền Trung, tiến tới sẽ mở rộng ra toàn lãnh thổ Việt Nam, vươn lên trở thành một trong những thương hiệu spa hàng đầu Việt Nam với sứ mạnh giúp phụ nữ Việt Nam trẻ trung hơn, xinh đẹp hơn.","Chăm sóc da mặt, Giảm béo, Nâng cơ xoá nhăn, Phun xăm thẩm mỹ, Tắm trắng, Thanh lọc cơ thể, Trẻ hóa da từ tế bào gốc, Trẻ hóa da từ oxyjet, Trị mụn, trị sẹo lồi lõm, Trị nám, Đặc trị tàn nhang, Triệt lông vĩnh viễn, Xóa chàm, Trị mụn, trị sẹo lồi lõm, Triệt lông vĩnh viễn, Tắm trắng, Chăm sóc da mặt, Massage, Giảm béo, Phun xăm thẩm mỹ, Thanh lọc cơ thể, Trẻ hóa da từ oxijet, Trẻ hoá da từ tế bào gốc, Nâng cơ xoá nhăn, Trị nám, Đặc trị tàn nhang, Xoá chàm","","","T11","H15451.jpg",
"H15452","Trung tâm công nghệ trị liệu Da - Spa - Thẩm mỹ Hàn Quốc cơ sở 2","098 391 22 22","19 Lô 13B Trung Yên 3, Trung Hòa,","Thứ Hai - Chủ Nhật: 09:00 - 20:00","","Korean Beauty Center là trung tâm công nghệ trị liệu Da - Spa - Thẩm mỹ viện Hàn Quốc trực thuộc Viện thẩm mỹ Oracle Seoul Hàn Quốc. Trung tâm do bác sỹ Việt Nam và Hàn Quốc trực tiếp tư vấn, với công nghệ hiện đại sẽ mang đến cho Quý khách đầy đủ các dịch vụ từ chăm sóc làm đẹp cơ bản đến các liệu trình chăm sóc trị liệu chuyên biệt nhằm đáp ứng tất cả nhu cầu làm đẹp toàn diện theo quy chuẩn khắt khe nhất của một thẩm mỹ viện hiện đại và đạt chuẩn Hàn Quốc.","Bấm mí Hàn Quốc, Độn cằm V-line, Nâng mũi, Trị hôi nách vĩnh viễn, Tạo má lúm đồng tiền, Căng da mặt, Nâng cung mày, Phẫu thuật thẩm mỹ tại bệnh viện, Nâng ngực, Nâng mông nội soi, Tiêm nâng mũi S-line, Xóa nhăn giữa cung mày, Xóa nhăn trán, Xóa nhăn mắt, Căng da mặt, Làm đầy rãnh mũi má, Làm đầy thái dương, Thon gọn quai hàm V-line, Làm bọng mắt baby, Tạo viền môi căng đẹp, Trắng sáng da mặt - skincool, Trị nám, Trị tàn nhang, Trẻ hóa da,  Thu nhỏ lỗ chân lông, Trị mụn trứng cá , Nâng cơ chống chảy sệ, Tẩy nốt ruồi, Tẩy mụn thịt, Làm mờ sẹo rỗ, Làm mờ sẹo lõm, Săn chắc Cochupha Hàn Quốc, Định vị đường eo 3D-Line, Giảm béo cho nam giới, Giảm béo sau sinh, Đông hủy mỡ Cryolipolysis, Làm hồng nhũ hoa, Phun thêu lông mày, Phun thêu mí mắt, Phun thêu môi, Massage toàn thân, Chăm sóc da toàn thân, Chăm sóc da mặt cơ bản, Tắm trắng, Triệt lông - Waxing, Triệt lông vĩnh viễn, Trị rụng tóc ở nam giới, Trị hói đầu","DC000313, DC000314, DC000315, DC000316, DC000317","","T11","H15452.jpg",
"H15453","Viện chăm sóc da Công nghệ cao Sài Gòn Đẹp - Cơ sở 2","094 202 34 34","79 Xuân Thuỷ, Thảo Điền, Quận 2, Hồ Chí Minh","Thứ Hai - Chủ Nhật: 09:00 - 20:00","","Năm 2004, Sài Gòn Đẹp Clinic & Spa chính thức đi vào hoạt động với sự cộng tác của Bác sĩ Bùi Thị Cúc – Nguyên phó giám đốc bệnh viện Da Liễu, Thành phố Hồ Chí Minh; Bác sĩ Trần Thịnh – Nguyên Trưởng khoa Bệnh viện Da Liễu, Thành phố Hồ Chí Minh; Dược sĩ Trần Thị Thanh Nữ và đội ngũ chuyên gia, kỹ sự vật lý & laser ứng dụng trong Y Khoa.","Massage, Xông hơi, Chăm sóc da mặt, Chăm sóc thân, Xóa hình săm, Se khít lỗ chân lông, Xóa bớt sắc tố, Triệt lông vĩnh viễn, Điều trị mụn, Trẻ hóa da, Điều trị sẹo, Xóa nếp nhăn, Điều trị nám da","DC000318","K05, K30","T11","H15453.jpg",
"H15454","Spa Tường Vy","090 782 97 52","125/47- 49 Bùi Đình Túy, 24, Bình Thạnh, Hồ Chí Minh","","","","","","K30","T11","H15454.jpg",
"H15455","Trung tâm trị mụn Hoàn Mỹ","098 337 45 37","89 Duy Tân , 15, Phú Nhuận, Hồ Chí Minh","Thứ Hai - Chủ Nhật: 08:30 - 20:00","","Trung tâm Hoàn Mỹ luôn đi đầu trong việc ứng dụng công nghệ thẩm mỹ mới vào làm đẹp cho khách hàng. Đặc biệt với với công nghệ trị mụn Bluelight tiên tiến sẽ xóa sạch 99% các loại mụn, đem lại cho bạn làn da căng mịn đồng thời se khít lỗ chân lông. Cùng với sự phát triển của xã hội, để đáp ứng nhu cầu làm đẹp ngày càng cao của con người, Hoàn Mỹ đã xây dựng một trung tâm thẩm mỹ hiện đại, tập trung vào lĩnh vực điều trị mụn và chăm sóc da. Trung tâm là địa chỉ uy tín về điều trị sẹo, thâm và trị mụn trứng cá.","Trị mụn, Chăm sóc da mụn, Làm trắng da","","K05, K30","T11","H15455.jpg",
"H15456","Lacare Clinic","08 6268 1010","Lầu 2, Bitexco Financial Tower 02, đường Hải Triều, Bến Nghé, Quận 1, Hồ Chí Minh","Thứ Hai - Chủ Nhật: 10:00 - 22:00","","Lacare Clinic ra đời với sứ mệnh mang đến cho mọi người một làn da sạch, khỏe mạnh, đẹp rạng ngời và luôn tự tin với bản thân bằng các phương pháp trị liệu an toàn hiệu quả đạt chứng nhận FDA với chi phí hợp lý nhất. Với hệ thống máy móc công nghệ hiện đại, Lacare Clinic đáp ứng được mong muốn rút ngắn thời gian làm đẹp, mang lại đột phá mới về hiệu quả điều trị cho các khách hàng.","Trẻ hóa da, Trị mụn, Trị tàn nhàn","","K30","T11","H15456.jpg",
"H15457","Spa Việt Hoa","096 714 51 57","23 Lê Lợi, An Mỹ, Tam Kỳ, Quảng Nam","","","Tự hào là hệ thống spa uy tín hàng đầu ở Quảng Nam, spa Việt Hoa cam kết luôn mang lại cho khách hàng những dịch vụ làm đẹp hiệu quả nhất, an toàn nhất, hiện đại nhất, cùng phong cách phục vụ chuyên nghiệp, thân thiện. Ngay từ khi ra đời, spa Việt Hoa đã nhanh chings xác định định hướng phát triển của mình, đó là mang lại cho khách hàng những phương pháp làm đẹp cao cấp, hiện đại nhất của thế giới, nhưng phải là những công nghệ theo xu hướng tự nhiên đảm bảo yếu tố tuyệt đối an toàn. Không chỉ giúp khách hàng đẹp hơn với những trị liệu hiệu quả, an toàn, spa Việt Hoa còn mang lại cho bạn sức khỏe tinh thần nhờ không gian được thiết kế theo các quy chuẩn của một spa đích thực. Cách bài trí đậm chất thiên nhiên, thoang thoảng mùi hương thảo mộc, âm nhạc dịu dàng đánh thức mọi giác quan cùng sự tận tình chăm sóc của nhân viên sẽ là liệu pháp tuyệt vời giúp bạn thư giãn và tìm lại sự mãn nguyện trong tâm hồn. Đến với spa Việt Hoa, sự hài lòng của khách hàng chính là món quà lớn nhất. Chúng tôi xin gửi lời chân thành đến với những ai đã, đang và sẽ đồng hành cùng spa Việt Hoa.","Điều trị các bệnh về da, Điều trị mun - Nám - Tàn nhang - nốt ruồi, Điều trị lão hóa da - Thay da sinh học, Chăm sóc da mặt, Điều trị sẹo rỗ, Massage thư giãn với tinh dầu giải cảm, Massage đá nòng, Massage túi chườm thảo mộc, Massage đầu, Massage mặt, Massage cổ, Điều trị đau đầu, Điều trị đau mỏi vai gáy, Massage ngực giúp săn chắc, Massage chống chảy sệ, Massage hồng nhũ hoa, Giảm béo, giảm vòng bụng hiệu quả, Xông hơi, Xông chân Thượng Hải, Xông vùng kín phụ nữ","","K30","T11","H15457.jpg",
"H15458","Hoa Nắng Spa","091 854 87 78","62/24 Trương Công Định, 14, Tân Bình, Hồ Chí Minh","Thứ Hai - Chủ Nhật: 09:30 - 20:30","","Hoa Nắng Spa là địa chỉ giúp bạn xua tan đi nỗi lo về làn da kém sắc, nhiều khuyết điểm hay một cơ thể thiếu cân đối, suy nhược hiệu quả. Tọa lạc trên đường Trương Công Định quận Tân Bình, spa là điểm đến tin cậy cho các chị em phụ nữ. Spa cung cấp nhiều dịch vụ làm đẹp chuyên nghiệp như chăm sóc da mặt cơ bản/ chuyên sâu, thanh tẩy cơ thể, massage, trị mụn, trẻ hóa da, tắm trắng, trị thâm quầng mắt,... Cơ sở vật chất khang trang, thiết bị làm đẹp hiện đại, mỹ phẩm cao cấp. Không gian làm đẹp rộng rãi, sang trọng và ấm cúng. Nhân viên chăm sóc sắc đẹp của spa có tay nghề cao, cung cách phục vụ chu đáo, nhiệt tình.","Chăm sóc da mặt cơ bản, Chăm sóc da mặt chuyên sâu, Thanh tẩy cơ thể, Massage, Trị mụn, Trẻ hóa da, Tắm trắng, Trị thâm quầng mắt","","K30","T11","H15458.jpg",
"H15459","Mỹ Uyên Spa","090 816 17 66","47 đường 15, Tân Kiểng, Quận 7, Hồ Chí Minh","Thứ Hai - Chủ Nhật: 08:00 - 20:00","","Tọa lạc tại quận 7, My Time Spa là một trong những trung tâm chăm sóc sức khỏe nhận được nhiều sự tin cậy của khách hàng tại thành phố Hồ Chí Minh. Với 2 chính nhánh Blue Spa và Mỹ Uyên Spa cùng đầy đủ các loại hình dịch vụ từ massage body, massage đá nóng, massage foot cho đến các liệu pháp xông hơi, ấn huyệt cùng nhiều dịch vụ mới lạ khác, My Time Spa luôn làm hài lòng và thõa mãn nhu cầu thư giãn tốt nhất cho cả khách hàng nam và nữ. Sở hữu không gian khá ấm cúng, sang trọng cùng đội ngũ nhân viên được tập huấn bài bản, phục vụ nhiệt tình, chu đáo sẽ đem lại cảm giác thoải mái cho mọi khách hàng. Thư giãn trên chiếc giường êm ái, hòa mình trong tiếng nhạc êm dịu, cảm nhận những động tác massage chuyên nghiệp của nhân viên chắc chắn mọi căng thẳng, mệt mỏi của cuộc sống dường như được tan biến hết.","Massage body, Massage foot, Massage mặt, Xông hơi, Ấn huyệt, Xông hơi khô","","","T11","H15459.jpg",
"H15460","Ngọc Hương Spa - Cơ sở 1","090 989 58 70","9 đường 49, Bình Trưng Đông, Quận 2, Hồ Chí Minh","Thứ Hai - Chủ Nhật: 09:00 - 20:00","","Mọi người có lẽ chưa phân biệt rõ lắm về cái định nghĩa spa. Spa theo nghĩa nguyên thuỷ của nó là Salus per aquam, tức là trị liệu bằng nước. Còn bây giờ theo định nghĩa của hiệp hội Spa thế giới thì Spa là tất cả các liệu pháp đem lại sự cân bằng năng lượng cho cơ thể và tâm hồn. Ở Việt Nam mình chưa có nhiều nơi thực sự đúng nghĩa là spa, trừ một số cái resort spa và một số cái hịgh- ranking spa ở Hà Nội và thành phố HCM.  Những cái còn lại chỉ là beauty salon chứ không thể gọi là spa được. Một Spa tiêu chuẩn phải đáp ứng đủ 5 giác quan của con người, tức là khi bạn bước vào một spa tai bạn phải nghe thấy những thanh âm thiên nhiên và nhạc trị liệu chuyên nghiệp của spa, mũi bạn ngửi thấy mùi tinh dầu và mùi hoa cỏ thiên nhiên, mắt bạn nhìn ngắm thấy những cảnh vật thiên nhiên nhẹ nhàng thư giãn , miệng bạn được thưởng thức những loại trà và nước trà hoa riêng biệt, bạn cảm nhận thấy sự mềm mại dịu dàng khi nhân viên massage cho bạn. Như thế một spa mới được gọi là tiêu chuẩn”.","Chăm sóc da mặt, Chăm sóc da toàn thân, Phun thêu thẩm mỹ, Waxing lông, Thẩm mỹ, Phun thêu thẩm mỹ, Chăm sóc cơ thể, Spa thư giãn","","K30","T11","H15460.jpg",
"H15461","Hoàng Yến spa","0283 7228 722","6 đường 20, Linh Chiểu, Thủ Đức, Hồ Chí Minh","","","Spa Hoàng Yến với không gian thư giãn sang trọng, cung cách phục vụ chuyên nghiệp, thân thiện. Với kỹ thuật massage mặt, body cùng hương thơm nhẹ nhàng của tinh dầu sẽ giúp bạn xua tan đi sự mệt mõi sau một ngày làm việc căng thẳng. Đến với spa Hoàng Yến, bạn sẽ không quá lo lắng về giá cả vì spa có các dịch vụ phù hợp với từng túi tiền của bạn. Hơn thế nữa, spa có các chế độ ưu đãi đặc biệt dành cho các khách hàng thường xuyên và có các chương trình khuyến mãi theo từng thời điểm.","Liệu pháp cung cấp vitamin giúp làm giãm quầng thâm và vết chân chim, Liệu pháp tẩy Enzyme sinh học cung cấp nước, Nối mi đẹp tự nhiên, Cung cấp nước & giãm bọng sưng ở mắt, Điều trị da khô, Điều trị lão hóa, Điều trị da mụn, Điều trị da nám , Điều trị tàn nhang, Đắp mặt nạ collagen và tảo biển chống nhăn, lão hóa, Xông hơi tinh dầu, Massage thư giãn, Giãm stress bằng tinh dầu , Massage bằng đá nóng, Tẩy tế bào chết: muối/cát + mặt nạ dưỡng mịn da thiên nhiên, Thắp sáng da bằng nghệ, sữa, Dịch vụ tắm bùn cho da mịn màng, Tắm trắng bằng thảo dược, Ngâm bồn thủy lực, Phun chân mày, Thêu chân mày, Xóa chân mày hư,phun lại, Phun môi mới, Phun mí mắt, Xóa môi thâm + đổi màu môi, Xóa viền môi bằng mực, Thu nhỏ môi dầy, Xâm thẩm mỹ, Thêu thẩm mỹ,  Nối mi đẹp tự nhiên,  Chăm sóc da chuyên nghiệp,  Massage chân                                                                          , Massage lưng                                                                                                                           , Paraffin tay                                                                              , Paraffin chân                                                                                                                                          , Massage nâng nở ngực, Massage tan mỡ tan + hút mỡ chân không, Massage tan mỡ đùi + hút mỡ chân không, Massage tan mỡ bụng + hút mỡ chân không, Wax nách, Wax chân, Wax tay, Wax lưng, Wax ngực, Wax bikini","","K30","T11","H15461.jpg",
"H15462","Violet Spa","08 6298 5959","27/5 Quách Văn Tuấn, 12, Tân Bình, Hồ Chí Minh","Thứ Hai - Chủ Nhật: 09:00 - 18:00","","Violet được biết đến như một loài hoa bé nhỏ, trầm lặng và khiêm nhường. Tuy nhiên hãy nhìn vào cánh đồng bát ngát tím tận chân trời bạn sẽ hiểu vì sao violet lại mang biểu tượng của tình yêu, sum vầy và phồn thịnh. Đây cũng là loài hoa được người Hy Lạp cổ chọn dâng lên thần Aphrodite - nữ thần của tình yêu và sắc đẹp. Hoa violet có nhiều loại, trong đó có vài loại được chiết xuất thành syrup. Với mùi hương dịu nhẹ cổ điển, nhiều loại nước hoa được chiết xuất từ hoa violet rất được yêu thích. Những nghiên cứu gần đây cho thấy trong violet còn có thành phần chống oxy hóa giúp giữ gìn làn da thanh xuân. Hóa ra đằng sau vẻ nhỏ bé và màu tím mong manh kia là một vẻ đẹp khác rực rỡ hơn, đầy sức sống hơn đang chờ đợi được đánh thức.","Tắm trắng, Dưỡng trắng, Trị thâm vùng nách, Trị thâm vùng kín, Xông hơi, Massage, Tẩy tế bào chết, Điều trị sẹo, Điều trị mụn, Giảm béo, Trị tàn nhang","DC000319","K30","T11","H15462.jpg",
"H15463","Vẻ đẹp Hoàn Hảo - 371/17 Hai Bà Trưng","0283 8205 485","371/17 Hai Bà Trưng, 8, Quận 3, Hồ Chí Minh","Thứ Hai - Chủ Nhật: 09:00 - 21:00","","Hãy xem khách hàng là chính người nhà. Vẻ đẹp hoàn hảo luôn đạt được sự hài lòng từ khách hàng cả nam lẫn nữ và kết quả thống kê cho thấy 90% khách hàng sử dụng dịch vụ đều quay trở lại và gắn bó với spa sau lần đầu tiên. Đây là con số vô cùng khích lệ đối với một thương hiệu còn non trẻ, và cũng chính là động lực để Vẻ đẹp hoàn hảo luôn cố gắng hoàn thiện dịch vụ và tay nghề nhân viên càng ngày càng nâng tầm hơn nữa để không phụ lòng tin yêu của khách.","Chăm sóc trẻ hóa da, Tắm trắng ngọc trai , Dịch vụ ủ trắng da mặt perfect beauty, Dịch vụ ủ trắng toàn thân perfect beauty, Làm ốm bụng , Liệu trình làm sáng da vùng nách, Liệu trình phục hồi da, Liệu trình phủ trắng body , Liệu trình điều trị nám, Trị mụn, Liệu trình điều trị mụn thâm, Liệu trình triệt lông vĩnh viễn, Liệu trình điều trị da lão hoá, Chăm sóc da cơ bản toàn thân, Mặt nạ thiên nhiên, Massage thư giãn vùng mặt, Chăm sóc da cơ bản vùng mặt, Trọn gói duy trì làn da tươi trẻ, Chăm sóc trị liệu da mụn vùng mặt, Chăm sóc da , Làm trắng da , Cavi- lipo, Giảm béo, Chăm sóc trẻ hóa da, Chăm sóc tóc, Massage body","DC000320","K30","T11","H15463.jpg",
"H15464","Hương Sen Spa - Cơ sở 2","0283 5172 468","124 Phan Xích Long , 2, Phú Nhuận, Hồ Chí Minh","Thứ Hai - Chủ Nhật: 09:00 - 21:00","","Qua hơn 10 năm hoạt động, Hương Sen Việt Spa luôn đặt mục tiêu hàng đầu là Spa giá tốt và chọn thương hiệu mỹ phẩm uy tín, hiệu quả cao và mang tính chất điều trị và chăm sóc chuyên sâu, Blanc de Blanccủa Thụy Sỹ và Phytomer của Pháp là 2 dòng mỹ phẩm chuyên nghiệp cho Spa và chăm sóc tại nhà. Đặc biệt liệu trình massage body thư giãn, giảm căng thẳng, giảm đau nhức là dịch vụ gắn liền với Hương Sen Việt Spa trong 10 năm qua. Hương Sen Spa với không gian yên tĩnh, nội thất trang nhã, cao cấp hòa cùng những bản nhạc du dương, hương tinh dầu thiên nhiên nồng nàn đưa quý khách đến một không gian sang trọng nhưng hết sức gần gũi, tạo cảm giác thư thái, nhẹ nhàng.","Thư giãn toàn thân , Chăm sóc thư giãn và điều trị toàn thân, Massage tan mỡ, Làm ốm, Ủ quấn săn da, Tẩy tế bào chết, Tắm dưỡng, Chăm sóc da mặt cơ bản, Trị liệu da mặt chuyên sâu từ tảo biển của Phytomer, Trị liệu bằng mĩ phẩm đặc trị , Chăm sóc mắt, Phục hồi nám, Phục hồi da lão hóa, Trị liệu trắng sáng, Trị liệu da sạm, Trị liệu da tổn thương, Điều trị mụn, Massage và chăm sóc bàn chân, Waxing","","K30","T11","H15464.jpg",
"H15465","Angel Beauty Spa - Cơ sở Cần Thơ","0292 6253 772","131 Trần Văn Khéo, Cái Khế, Ninh Kiều, Cần Thơ","Thứ Hai - Chủ Nhật: 08:00 - 20:30","","Được thành lập từ năm 2007 cho đến nay với chuyên gia hơn 14 năm kinh nghiệm và tâm huyết trong việc tìm tòi, nghiên cứu, thấu hiểu làn da của người phụ nữ Việt Nam, thương hiệu Angel Beauty hầu như đã có mặt tại các thành phố lớn trong cả nước như: thành phố Hồ Chí Minh, thành phố Cần thơ, thành phố Đà Nẵng, Thủ đô Hà Nội.","Điều trị mụn, Điều trị dứt các loại nám, Điều trị tàn nhang, Làm đầy sẹo lõm do mụn để lại với tinh chất từ nhau thai giúp tái tạo tế bào gốc, Se khít lỗ chân lông đồng thời giúp da không còn bóng dầu và mụn cám, Trẻ hóa da với tinh chất collagen vàng nguyên chất giúp săn chắc, Xóa nếp nhăn, Chống chảy xệ, Phục hồi làn da hư tổn do dùng kem trộn, Lột da, Điều trị da dị ứng, Điều trị da mao mạch mỏng hay ửng đỏ, Thư giãn toàn thân, Ngâm bồn thải độc, Xông hơi, Massage thư giãn, Ấn huyệt, Chườm túi thảo dược, Giải độc bằng đá nóng","DC000321, DC000322, DC000323, DC000324","K30","T11","H15465.jpg",
"H15466","Sen Vàng Spa","0246 2693 892","160 Ngõ 1 Hoàng Quốc Việt, Nghĩa Tân, Cầu Giấy, Hà Nội","Thứ Hai - Chủ Nhật: 08:00 - 18:00","","Sen Vàng Spa được thiết kế với phong cách sang trọng và tinh tế. Sự kết hợp hài hòa giữa yếu tố thiên nhiên và không gian kiến trúc thuần khiết Phương Đông tạo nên một vẻ đẹp mà chỉ riêng nơi đây mới có.","Giảm béo, Đổi màu lông mày, Làm hồng nhũ hoa, Massage toàn thân, Nâng mũi, Phun xăm, Làm se lỗ chân lông, Tắm trắng, Trị mụn, Trị nám, Trị sẹo, Làm đầy vết sẹo rỗ do mụn để lại, Trị tàn nhang, Triệt lông, Xóa nhăn vùng đuôi mắt, Xóa nhăn vùng trán, Xóa thâm, Trị mụn , Xóa nhăn vùng đuôi mắt, Xóa nhăn vùng trán, Xóa thâm, Làm se lỗ chân lông, Làm đầy vết sẹo rỗ do mụn để lại, Đổi màu lông mày, Làm hồng nhũ hoa, Trị sẹo, Nâng mũi, Tắm trắng , Giảm béo, Triệt lông, Phun xăm, Trị nám, Trị tàn nhang, Massage toàn thân","","","T11","H15466.jpg",
"H15467","Calla Lily Spa 1","0283 6100 167","150/25 Nguyễn Trãi, Bến Thành, Quận 1, Hồ Chí Minh","","","Calla Lily Spa có một không gian được thiết kế tinh tế, gần gũi thiên nhiên, hòa quyện vào đó là tiếng nước chảy róc rách, tiếng chim hót, kết hợp với hương tinh dầu tự nhiên sẽ giúp khách hàng xua tan đi những căn thẳng, mệt mỏi hằng ngày. Spa chọn lọc những dòng mỹ phẩm cao cấp và chuyên nghiệp nhất trên thị trường hiện nay đến từ các nước như Úc, Mỹ,  Pháp, Hàn, Nhật với mong muốn đem lại cho khách hàng làn da khỏe đẹp tối ưu. Đội ngũ nhân viên giàu kinh nghiệm, vững chuyên môn, được đào tạo bởi các chuyên gia thẩm mỹ trong và ngoài nước, chắc chắn mang lại cho khách hàng chất lượng phục vụ tốt nhất.","Chăm sóc da mặt thư giãn, Chăm sóc da mặt trái cây, Chăm sóc da mặt đá chuyên sâu, Trị mụn, Chạy serum, Đặc trị mụn, Trị nám, Trị lão hóa, Điều trị sẹo, Điều trị thâm, Trị lỗ chân lông to, Căng da 4 lớp, Massage body, Wax nách, Wax nửa tay, Wax nguyên tay, Wax nửa chân, Wax nguyên chân, Wax bikini, Tắm trắng collagen , Tái sinh làn da , Thay da sinh học, Nối mi Hàn quốc, Nối mi lụa, Nối mi nhung, Nối mi màu 3D, Dặm mi, Chăm sóc vùng mắt, Điều trị thâm mắt, Nâng cơ mắt, Giảm mỡ bụng, Tẩy tế bào chết, Ủ mịn da, Triệt lông vĩnh viễn","","K30","T11","H15467.jpg",
"H15468","Trung tâm công nghệ trị liệu Da - Spa - Thẩm mỹ Hàn Quốc","0243 9431 166","110 Hòa Mã, Ngô Thì Nhậm,","Thứ Hai - Chủ Nhật: 09:00 - 20:00","","Korean Beauty Center là trung tâm công nghệ trị liệu da - spa - thẩm mỹ viện Hàn Quốc BK trực thuộc viện thẩm mỹ Oracle Seoul Hàn Quốc. Trung tâm do bác sỹ Việt Nam trực tiếp tư vấn, với công nghệ hiện đại sẽ mang đến cho quý khách đầy đủ các dịch vụ từ chăm sóc làm đẹp cơ bản đến các liệu trình chăm sóc trị liệu chuyên biệt nhằm đáp ứng tất cả nhu cầu làm đẹp toàn diện theo quy chuẩn khắt khe nhất của một thẩm mỹ viện hiện đại và đạt chuẩn Hàn Quốc.","Phẫu thuật thẩm mỹ, Thẩm mỹ không phẫu thuật, Trị liệu da, Giảm béo - giảm cân, Thêu thẩm mỹ, Phun xăm thẩm mỹ, Dịch vụ spa, Tắm trắng, Triệt lông - waxing, Trị dụng tóc, hói đầu","DC000325, DC000326, DC000327, DC000328, DC000329","K30","T11","H15468.jpg",
